S.No,Emp ID,Employee Name,Designation,Department,Business Unit,Employee Status,Training Name,Training Status,Training Type,Training Source,Quarter,Training Start Month,Start Date,End Date,Venue,Overall Training Duration (Planned Hrs)
1,1,1,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
2,2,2,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
3,3,3,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
4,4,4,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
5,5,5,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
6,6,6,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
7,7,7,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
8,8,8,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
9,9,9,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
10,10,10,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
11,11,11,IN - Sales,IN - Sales,Sales & Marketing,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
12,12,12,IN - Sales,IN - Sales,Sales & Marketing,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
13,13,13,IN - KPO,IN - KPO,KPO,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
14,14,14,IN - KPO,IN - KPO,KPO,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
15,15,15,IN - KPO,IN - KPO,KPO,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
16,16,16,Lead L&D,IN - HR,Shared Service,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
17,17,17,IN - Sales,IN - Sales,Sales & Marketing,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
18,18,18,IN - Sales,IN - Sales,Sales & Marketing,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
19,19,19,IN - Sales,IN - Sales,Sales & Marketing,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
20,20,20,IN - Software Development,IN - Software Development,Technology,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
